GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MineSweeper,org.example,Main,679,277,137,19,167,79,81,14,5,7
MineSweeper,org.example,Tile,33,94,8,2,11,28,8,1,3,1
